bloco;y;x;id;vulgar;cient;familia;nome;classif;c7;c10;c13;c16;coordx;coordy;fuste7;fuste10;fuste13;st7;st10;st13;fito7;fito10;fito13;copa7;copa10;copa13;obs
B5;27,9;34,7;B5/144A;Ni;Ni;Ni;Ni;Ni;;;33,09999999;36,69999999;676834,7;7184327,9;;;;;;1;;;3;;;3;
G9;12,7;19,5;G9/80A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;;37,29999999;46,69999998;56,00000001;677069,5;7184512,7;;3;3;;3;3;;3;3;;3;3;
B6;42,1;18,5;B6/36A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;32,39999999;36,69999999;41,9;45,7;676818,5;7184392,1;2;4;;3;2;2;2;5;35;2;2;3;
F6;42,5;12,7;F6/253A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;;;;33,50000001;677012,7;7184392,5;;;;;;;;;;;;;
H8;15,3;33,8;H8/77A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;98,5;115,8;128;133,7;677133,8;7184465,3;2;2;1;3;3;3;3;3;3;3;3;3;
F6;3,1;49;F6/185A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;46,19999999;48,89999999;49,09999999;49,09999999;677049;7184353,1;1;1;2;3;2;2;3;3;3;3;2;2;
H5;31,7;17,5;H5/55A;Sucará;Xylosma ciliatifolia (Clos) Eichler;Salicaceae;Xylcil;Si;38,50000001;40,70000001;41,3;42;677117,5;7184331,7;2;2;2;2;2;2;2;5;3;2;2;3;
F8;11,7;0,2;F8/13A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;32,6;35,99999999;36,69999999;36,69999999;677000,2;7184461,7;42;42;42;1;1;1;3;35;35;2;2;2;
H6;37,5;32;H6/130B;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;59,50000001;61,39999999;62,50000001;63,20000001;677132;7184387,5;1;1;41;2;2;2;3;3;3;3;3;3;
E3;29,4;43;E3/153A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;48,80000001;51,60000001;53,00000001;55,39999999;676993;7184229,4;3;2;;3;3;3;3;3;3;3;2;2;
D3;37,1;9,7;D3/13A;Alfeneiro;Ligustrum lucidum W.T.Aiton;Oleaceae;Ligluc;Exótica;63,10000001;78,50000001;85,4;93,60000001;676909,7;7184237,1;3;1;;2;2;3;3;3;3;3;2;3;
E5;17,6;24;E5/75A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;50,30000002;50,30000002;52,49999999;55,1;676974;7184317,6;1;41;;1;2;1;3;5;3;2;3;3;
A4;9,9;21;A4/120A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;;33,4;38,4;676771;7184259,9;;;2;;;1;;;3;;;3;
I6;48,7;25;I6/89A;Duranta vestita;Duranta vestita Cham.;Verbenaceae;Durves;P;39,7;39,7;;;677175;7184398,7;1;;;1;;;3;4;4;3;;;
E4;1,3;49;E4/149A;Mamica-de-cadela;Zanthoxylum rhoifolium Lam.;Rutaceae;Zanrho;Si;37,7;39,49999999;40,99999999;42,20000001;676999;7184251,3;2;2;;3;2;1;3;3;3;2;3;3;
D4;39,3;26,5;D4/117A;Canela de raposa;Styrax leprosus Hook. & Arn.;Styracaceae;Stylep;Si;33,09999999;37,39999999;43,99999999;50,7;676926,5;7184289,3;2;3;;2;2;2;3;3;3;3;3;3;
