"bloco";"y";"x";"id";"vulgar";"cient";"familia";"nome";"classif";"c7";"c10";"c13";"c16";"coordx";"coordy";"fuste7";"fuste10";"fuste13";"st7";"st10";"st13";"fito7";"fito10";"fito13";"copa7";"copa10";"copa13";"obs";"d7";"d10";"d13";"d16";"g7";"g10";"g13";"g16";"ipa0710";"ipa0713";"ipa0716";"ipa1013";"ipa1016";"ipa1316";"ipa0710.100";"ipa0713.100";"ipa0716.100";"ipa1013.100";"ipa1016.100";"ipa1316.100";"numcient";"numclassif";"sub100";"sub50";"sub25";"sub20";"sub15";"sub10";"G7.100";"G7.50";"G7.25";"G7.20";"G7.15";"G7.10";"Gnorm7.100";"Gnorm7.50";"Gnorm7.25";"Gnorm7.20";"Gnorm7.15";"Gnorm7.10";"bal7.100";"bal7.50";"bal7.25";"bal7.20";"bal7.15";"bal7.10";"d7.100";"d7.50";"d7.25";"d7.20";"d7.15";"d7.10";"dalt7.100";"dalt7.50";"dalt7.25";"dalt7.20";"dalt7.15";"dalt7.10";"Igh7.100";"Igh7.50";"Igh7.25";"Igh7.20";"Igh7.15";"Igh7.10";"dist7.3";"viz7.3";"dist7.5";"viz7.5";"dist7.7";"viz7.7";"dist7.10";"viz7.10";"dist7.12";"viz7.12";"dist7.15";"viz7.15";"dist7.17";"viz7.17";"dist7.20";"viz7.20";"Hg7.3";"Hg7.5";"Hg7.7";"Hg7.10";"Hg7.12";"Hg7.15";"Hg7.17";"Hg7.20";"TB7.3";"TB7.5";"TB7.7";"TB7.10";"TB7.12";"TB7.15";"TB7.17";"TB7.20";"poligonos.7";"areas.7";"diametros.7";"num.viz.7";"APA7.m";"APA7.v";"Hgalt7.3";"Hgalt7.5";"Hgalt7.7";"Hgalt7.10";"Hgalt7.12";"Hgalt7.15";"Hgalt7.17";"Hgalt7.20";"TBalt7.3";"TBalt7.5";"TBalt7.7";"TBalt7.10";"TBalt7.12";"TBalt7.15";"TBalt7.17";"TBalt7.20";"Ek7.3";"Ek7.5";"Ek7.7";"Ek7.10";"Ek7.12";"Ek7.15";"Ek7.17";"Ek7.20"
B5;27,9;34,7;B5/144A;Ni;Ni;Ni;Ni;Ni;NA;NA;33,09999999;36,69999999;676834,7;7184327,9;NA;NA;NA;NA;NA;1;NA;NA;3;NA;NA;3;;NA;NA;10,54;11,68;NA;NA;0,0087;0,0107;NA;NA;NA;NA;NA;0,38;NA;NA;NA;NA;NA;3,60531309297913;57;5;"X1.Y3";"X2.Y5";"X4.Y9";"X5.Y11";"X6.Y14";"X9.Y21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;17,8843636363636;16,1588235294118;13,2966666666667;12,225;15,44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
G9;12,7;19,5;G9/80A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;NA;37,29999999;46,69999998;56,00000001;677069,5;7184512,7;NA;3;3;NA;3;3;NA;3;3;NA;3;3;;NA;11,87;14,87;17,83;NA;0,0111;0,0174;0,025;NA;NA;NA;1;0,99;0,99;NA;NA;NA;8,424599831508;8,34035383319292;6,6577000672495;74;6;"X4.Y4";"X7.Y8";"X13.Y16";"X16.Y20";"X22.Y26";"X32.Y39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;15,9703773584906;14,9566666666667;12,205;12,205;NA;13,97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
B6;42,1;18,5;B6/36A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;32,39999999;36,69999999;41,9;45,7;676818,5;7184392,1;2;4;NA;3;2;2;2;5;35;2;2;3;;10,31;11,68;13,34;14,55;0,0083;0,0107;0,014;0,0166;0,46;0,5;0,47;0,55;0,48;0,4;4,46168768186227;4,84966052376334;4,55868089233754;4,70890410958904;4,10958904109589;2,99850074962519;13;8;"X1.Y3";"X2.Y6";"X3.Y11";"X4.Y14";"X5.Y18";"X7.Y27";1,6807;0,6501;0,016;0,0603;0;0;1,689;0,6584;0,0243;0,0686;0,0083;0,0083;1,6725;0,6419;0,016;0,0521;0;0;17,8843636363636;20,1893333333333;12,3;14,23;10,31;10,31;18,0246296296296;20,895;14,29;15,5366666666667;NA;NA;0,576481232971412;0,510665698058381;0,838211382113821;0,724525650035137;1;1;0;0;0;0;0;0;9,17877987534291;1;53,7633664096013;5;53,7633664096013;5;69,354710162556;6;107,433575691876;8;0;0;0;0,107678888497807;0,85199446339845;0,85199446339845;1,16584216928011;1,2808212649016;0;0;0;-0,0130736330568683;3,95119118130586;3,95119118130586;6,52569666563227;6,62811568326285;1;178,391044433244;18,4428030619604;8;1,27490827335589;12,037875675864;0;0;0;0;0,170537042676296;0,170537042676296;0,484384748557958;0,484384748557958;0;0;0;0;0,771441997525338;0,771441997525338;3,34594748185174;3,34594748185174;0;0;0;0;2,56484770586849;2,56484770586849;8,88961879801171;8,88961879801171
F6;42,5;12,7;F6/253A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;NA;NA;NA;33,50000001;677012,7;7184392,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;10,66;NA;NA;NA;0,0089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;7;"X3.Y3";"X6.Y6";"X11.Y11";"X14.Y14";"X18.Y18";"X27.Y27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;18,2529113924051;20,6378947368421;15,4666666666667;17,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H8;15,3;33,8;H8/77A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;98,5;115,8;128;133,7;677133,8;7184465,3;2;2;1;3;3;3;3;3;3;3;3;3;;31,35;36,86;40,74;42,56;0,0772;0,1067;0,1304;0,1423;1,84;1,57;1,25;1,29;0,95;0,61;5,86921850079745;5,00797448165869;3,98724082934609;3,4997287032013;2,57731958762887;1,4972999509082;70;6;"X4.Y4";"X8.Y7";"X16.Y14";"X20.Y17";"X26.Y23";"X39.Y34";1,1146;0,2892;0;0;0;0;1,1918;0,3664;0,0772;0,0772;0,0772;0,0772;0,0836;0;0;0;0;0;15,9703773584906;17,0792857142857;31,35;31,35;31,35;31,35;15,6746153846154;15,9815384615385;NA;NA;NA;NA;1,96300934513191;1,83555685667684;1;1;1;1;0;0;0;0;0;0;0;0;0;0;13,6209397619222;1;30,4355167712265;2;50,2668051813701;3;0;0;0;0;0;0,0667187393607791;0,089179693992387;0,109205079050059;0;0;0;0;0;-0,209970828003749;-1,37027358133523;-2,32331302129077;2;3351,22786004497;132,137763281972;6;2,63837613482547;52,6925528380545;0;0;0;0;0;0,0667187393607791;0,0667187393607791;0,086744124418451;0;0;0;0;0;-0,209970828003749;-0,209970828003749;-1,16301026795929;0;0;0;0;0;1,1410644306663;1,1410644306663;1,76561404730895
F6;3,1;49;F6/185A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;46,19999999;48,89999999;49,09999999;49,09999999;677049;7184353,1;1;1;2;3;2;2;3;3;3;3;2;2;;14,71;15,57;15,63;15,63;0,017;0,019;0,0192;0,0192;0,29;0,15;0,1;0,02;0,01;0;1,97144799456152;1,01971447994562;0,679809653297077;0,128452151573539;0,0642260757867694;0;44;6;"X3.Y3";"X6.Y5";"X12.Y10";"X15.Y12";"X20.Y16";"X30.Y23";2,9961;0,5656;0,0953;0,1091;0,0102;0,0149;3,0131;0,5826;0,1123;0,1261;0,0272;0,0319;2,4603;0,4755;0,0655;0,084;0;0;18,2529113924051;18,3325;15,464;16,82;13,055;14,245;18,2983333333333;18,574;15,6525;17,3475;11,4;13,78;0,805898833548315;0,802400109095868;0,951241593378169;0,874554102259215;1,12677135197242;1,03264303264303;2,35372045900595;1;2,35372045900595;1;2,35372045900595;1;2,35372045900595;1;23,245131022943;3;23,245131022943;3;54,691186052837;5;93,8129658474411;7;0,397998708240401;0,397998708240401;0,397998708240401;0,397998708240401;0,564884407667576;0,564884407667576;0,794523482182731;0,887824278411815;-0,395119138486296;-0,395119138486296;-0,395119138486296;-0,395119138486296;-0,761540473541022;-0,761540473541022;0,745033810304027;0,613441079755184;3;154,88148275674;24,9540619520723;6;0,674949626819381;5,42649933763941;0;0;0;0;0,0773977487158995;0,0773977487158995;0,307036823231054;0,307036823231054;0;0;0;0;-0,330570537258949;-0,330570537258949;1,1760037465861;1,1760037465861;0;0;0;0;1,13721058895957;1,13721058895957;6,4239507821417;6,4239507821417
H5;31,7;17,5;H5/55A;Sucará;Xylosma ciliatifolia (Clos) Eichler;Salicaceae;Xylcil;Si;38,50000001;40,70000001;41,3;42;677117,5;7184331,7;2;2;2;2;2;2;2;5;3;2;2;3;;12,25;12,96;13,15;13,37;0,0118;0,0132;0,0136;0,014;0,24;0,15;0,12;0,06;0,07;0,07;1,95918367346939;1,22448979591837;0,979591836734694;0,462962962962963;0,540123456790124;0,532319391634981;79;7;"X4.Y3";"X8.Y5";"X15.Y9";"X19.Y11";"X25.Y14";"X37.Y21";2,838;0,3275;0,1532;0,0419;0,0419;0;2,8498;0,3393;0,165;0,0537;0,0537;0,0118;2,6782;0,3174;0,1532;0,0419;0,0419;0;20,1293650793651;16,454;16,8228571428571;17,68;17,68;12,25;20,2564516129032;16,7542857142857;17,585;23,11;23,11;NA;0,608563655718961;0,744499817673514;0,728175951086957;0,692873303167421;0,692873303167421;1;0;0;3,55105618085;1;3,55105618085;1;3,55105618085;1;3,55105618085;1;30,7951588007174;3;62,4526313541648;5;97,625916670978;7;0;0,531259015956579;0,531259015956579;0,531259015956579;0,531259015956579;0,753802254617582;0,917342889840479;1,05176773024758;0;3,05824505356052;3,05824505356052;3,05824505356052;3,05824505356052;3,97522079770042;4,42767386210985;4,68127542135164;4;140,60176947899;21,1317813034648;6;0,732293276072337;4,87278015933086;0;0,531259015956579;0,531259015956579;0,531259015956579;0,531259015956579;0,674429157438781;0,837969792661677;1,10681947347588;0;3,05824505356052;3,05824505356052;3,05824505356052;3,05824505356052;3,83816861780666;4,29062168221609;4,79782480069966;0;2,08582671835204;2,08582671835204;2,08582671835204;2,08582671835204;4,68409005189215;9,18187421552886;18,3110307975284
F8;11,7;0,2;F8/13A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;32,6;35,99999999;36,69999999;36,69999999;677000,2;7184461,7;42;42;42;1;1;1;3;35;35;2;2;2;;10,38;11,46;11,68;11,68;0,0085;0,0103;0,0107;0,0107;0,36;0,22;0,14;0,07;0,04;0;3,46820809248555;2,11946050096339;1,34874759152216;0,610820244328098;0,349040139616056;0;23;8;"X3.Y4";"X6.Y7";"X11.Y14";"X13.Y17";"X17.Y23";"X26.Y34";2,4814;0,5674;0,326;0,2001;0,0105;0,1896;2,4899;0,5759;0,3345;0,2086;0,019;0,1981;2,4243;0,543;0,326;0,2001;0,0105;0,1896;16,8603488372093;14,4362068965517;17,0154545454545;20,54;10,965;23,5366666666667;16,9365882352941;14,5810714285714;17,679;23,9266666666667;11,55;30,115;0,615645625142242;0,719025438910785;0,610033659240263;0,505355404089581;0,946648426812586;0,441014020676958;0;0;3,82099463471357;1;10,6802948905434;2;18,4700317281534;3;30,438323168501;4;70,1601690360166;7;134,832349195837;11;134,832349195837;11;0;0,291211286427046;0,957367306928718;1,11567055655227;1,24631441852891;1,54856686990894;1,84745688807023;1,84745688807023;0;0,306202994730901;5,7076285947417;6,01829377515138;6,50708534821405;7,28747781218129;7,82039539946452;7,82039539946452;5;202,955120995519;24,2223591068748;7;1,13157623087792;11,8990626525759;0;0,291211286427046;0,957367306928718;1,11567055655227;1,24631441852891;1,75448825244003;2,20344747668644;2,20344747668644;0;0,306202994730901;5,7076285947417;6,01829377515138;6,50708534821405;7,90633287798182;8,72681041373593;8,72681041373593;0;1,32450727279029;6,46951334163313;8,19518874832856;10,6468042286972;22,4310392067291;37,1940122684698;37,1940122684698
H6;37,5;32;H6/130B;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;59,50000001;61,39999999;62,50000001;63,20000001;677132;7184387,5;1;1;41;2;2;2;3;3;3;3;3;3;;18,94;19,54;19,89;20,12;0,0282;0,03;0,0311;0,0318;0,2;0,16;0,13;0,12;0,1;0,08;1,05596620908131;0,844772967265047;0,686378035902851;0,614124872057318;0,511770726714432;0,402212166918049;2;8;"X4.Y3";"X8.Y6";"X16.Y11";"X20.Y14";"X26.Y18";"X39.Y27";2,8216;1,2377;0,4722;0,3829;0,0133;0,0133;2,8498;1,2659;0,5004;0,4111;0,0415;0,0415;2,2286;1,1357;0,4506;0,3696;0;0;20,1293650793651;25,6264705882353;29,866;33,51;15,965;15,965;20,1485483870968;26,044375;32,5975;40,795;12,99;12,99;0,940913929740173;0,739079536325032;0,634165941204045;0,565204416592062;1,18634512997181;1,18634512997181;0;1;0;1;0;1;0;1;21,102834407936;3;21,102834407936;3;68,1132289356981;6;86,875957948442;7;0;0;0;0;0,536034877797294;0,536034877797294;0,660792755180003;0,853833122318962;0;0;0;0;6,56237783579521;6,56237783579521;5,29859714743474;7,94533366248382;6;218,24306588547;23,9737982407008;7;1,1860425136438;9,1124070514903;0;0;0;0;0,536034877797294;0,536034877797294;0,588765091941319;0,781805459080278;0;0;0;0;6,56237783579521;6,56237783579521;6,37515879723066;9,02189531227973;0;0;0;0;6,54178744913068;6,54178744913068;7,87277895405086;12,3605208412246
E3;29,4;43;E3/153A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;48,80000001;51,60000001;53,00000001;55,39999999;676993;7184229,4;3;2;NA;3;3;3;3;3;3;3;2;2;;15,53;16,42;16,87;17,63;0,0189;0,0212;0,0224;0,0244;0,3;0,22;0,23;0,15;0,2;0,25;1,93174500965873;1,41661300708307;1,48100450740502;0,913520097442144;1,21802679658952;1,4819205690575;13;8;"X3.Y2";"X5.Y3";"X10.Y5";"X13.Y6";"X17.Y7";"X25.Y11";2,0998;0,7208;0,1824;0,1305;0,0442;0,0534;2,1187;0,7397;0,2013;0,1494;0,0631;0,0723;1,7564;0,6042;0,1323;0,1024;0,0442;0,0442;18,7550793650794;19,1242857142857;17,5742857142857;18,562;19,62;16,6966666666667;18,8070967741935;19,304;17,915;19,32;23,71;17,28;0,828042350432052;0,812056472697393;0,883677450821005;0,836655532808964;0,791539245667686;0,930125773607506;0;0;7,84532877737117;2;7,84532877737117;2;25,0048304466892;4;47,1411677187529;6;47,1411677187529;6;47,1411677187529;6;157,251926069481;12;0;0,547421163972056;0,547421163972056;0,774132007905598;1,07082563666614;1,07082563666614;1,07082563666614;1,48450072867791;0;0,365138352691801;0,365138352691801;0,259259536234351;2,05996382346466;2,05996382346466;2,05996382346466;3,40164492945271;7;41,9805149056259;10,8296838781671;5;0,344738564471613;2,08934371683402;0;0,334434629657353;0,334434629657353;0,456820835766486;0,592611334240424;0,592611334240424;0,592611334240424;0,760719318897133;0;1,79186153320851;1,79186153320851;1,95621252955474;2,68376209892784;2,68376209892784;2,68376209892784;3,57538231001859;0;1,71508183759617;1,71508183759617;3,15616390795027;5,1894387834106;5,1894387834106;5,1894387834106;9,98458635282851
