"nome";"classif";"ipa0710";"ipa0713";"ipa0716";"ipa1013";"ipa1016";"ipa1316";"d7";"d10";"d13";"d16";"d7.95";"d10.95";"d13.95";"d16.95";"n.d7";"n.d10";"n.d13";"n.d16";"n.0710";"n.0713";"n.0716";"n.1013";"n.1016";"n.1316"
"Aegbra";"P";0,0466666666666667;0,085;0,075;0,095;0,085;0,075;18,08;18,2166666666667;18,41;18,635;21,46;21,46;21,776;22,0865;4;3;2;2;3;2;2;2;2;2
"Alledu";"St";0,0734375;0,0703225806451613;0,0743333333333333;0,066875;0,072258064516129;0,0715625;13,720625;13,9421875;14,02875;14,2440625;17,994;18,9845;19,3675;19,735;32;34;33;36;32;31;30;32;31;32
"Allsem";"St";0,0866666666666667;0,096;0,0855555555555556;0,094;0,0833333333333333;0,0644444444444444;12,245;12,5025;12,9088888888889;13,1055555555556;15,3915;15,7965;17,022;17,214;12;12;10;9;12;10;9;10;9;9
"Annrug";"P";0,183076923076923;0,152307692307692;0,134615384615385;0,121538461538462;0,113076923076923;0,103076923076923;14,2284615384615;14,7776923076923;15,1423076923077;15,4507692307692;20,21;21,2;21,77;22,03;13;13;13;14;13;13;13;13;13;13
"Araang";"St";0,694583333333333;0,773333333333333;0,77;0,849583333333333;0,808333333333333;0,7376;54,665;56,7495833333333;58,6516;60,8664;69,6795;72,5555;75,042;77,464;24;24;25;25;24;24;24;24;24;25
"Bacdra";"P";0;NA;NA;NA;NA;NA;12;12;NA;NA;12;12;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA
"Blesal";"St";NA;NA;NA;NA;NA;0,2;NA;NA;10,22;10,82;NA;NA;10,22;10,82;NA;NA;1;1;NA;NA;NA;NA;NA;1
"Calcon";"C";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
"Camgua";"St";0,15;0,195555555555556;0,231111111111111;0,233333333333333;0,271111111111111;0,298;14,1522222222222;14,6055555555556;14,813;15,708;15,85;16,27;16,97;17,76;9;9;10;10;9;9;9;9;9;10
"Camxan";"St";0,24;0,303333333333333;0,233333333333333;0,286666666666667;0,186666666666667;0,09;19,3075;20,03;16,2833333333333;16,55;31,5525;31,695;20,648;20,699;4;4;3;3;4;3;3;3;3;3
